year,level
2009,39.2
2009,48.9
2009,50.4
2009,60.4
2010,52.8
2010,50.4
2010,58
2010,53.1
2011,44.4
2011,50.4
2011,38.22
2011,53
2012,40.5
2012,51
2012,54.31
2012,50.4
2013,56.1
2013,35.69
2013,70.15
2013,72
2014,51.94
2014,68.6
2014,74.64
2014,55.18
2015,40
2015,70.38
2015,77.88
2015,52.9
2016,61.26
2016,35
2016,46
2016,57
2017,53
2017,65.75
2017,62
2017,68
2018,70
2018,82.6
2018,72
2018,79
2019,80
2019,103.4
2019,98.28
2019,105.38
2020,51.2
2020,89
2020,69
2020,58
